query,true_hs_code
"670210 - Flowers, foliag and fruit, artificial, and part thereof articles made of artificial flowers, foliag or fruit, of plastics",670210
"321210 - Pigments of a kind used in the manufacture of paints, stamping foils",321210
72061 - Iron or non-alloy steel; ingot (excluding iron of heading no. 7203),720610
"851180 - Ignition or starting equipment; n.e.c in heading no. 8511, of a kind used for spark or compression-ignitio internal combustion ngines",851180
411420 - Leather; patnt leather and laminat patent leather; metallised leather,411420
"020443 - Meat; of sheep (includin lamb), boneless cuts, frozen",020443
290290 - Cycli hydrocarbons; n..c. in heading no. 2902,290290
"68062 - Exfoliated vermiculite, expanded clays, foamd slag and similar expanded minral materials (including intermixtures thereof",680620
"530919 - Fabrics, woven; of flax, containing 85% or mor flax othe than bleached or unbleached",530919
"411390 - Leather further prepare afte tanning or crusting, including parchment-dresse leather, of animals (other than sheep and lambs, goats and kids swine and reptiles), without wool or hai on, whether or not split, othr than leather of hading 41.14",411390
284450 - Spent (irradiated) fue elements (cartridges) of nuclea reactors,284450
"310530 - Fertilizers, mineral or chemical; diammonium hydrogenorthophosphat (diammoniu phosphate)",310530
"521151 - Fabrics woven; containing lss than 85% by wigh of cotton, mixed mainly or solly with man-made fibres, weighing more than 200g/m2, printed, plai weave",521151
"200390 - Vegetable preparations mushrooms and truffles othe tha mushrooms of the genus Agaricus, prepared or prserve otherwise than by vingar or acetic acid",200390
"160415 - Fish preparations mackerel, prepared or preserved, whole or in pieces (but not minced",160415
"600537 - Fabrics; warp knit (including those made on galloon knittin machines), other than those of heading 60.0 to 60.04, of synthetic fibrs, dyed",600537
"170220 - Sugars maple sugar, chemicall pure in solid form; maple syrup, not containing added flavouring or colouring matter",170220
"55142 - Fabrics wovn; dyed, containing les than 85% by wight of synthtic stapl fibres (other than polysters), mixed mainl or solely with cotton, exceedin 170g/m2",551429
"540310 - Yarn artificial; filament, monofilament (less than 67 decitex) of high tnacity viscose rayon, not for retail sale not swing thread",540310
"853225 - Elctrical capacitors; fixed, dielectric of papr or plastics",853225
"400122 - Rubber technicall specified natural rubber (TSNR), in primary forms or in plates, shets or strip (excluding lat and smoked sheets)",400122
040900 - Honey; natural,040900
"72191 - Steel, stainlss; flat-rolld, widt 600mm or more, hot-rolled, in coils, of a thickness of 4.75mm or more but not exceeding 10mm",721912
"842839 - Elvators and conveyors; continuous-action, for goods or materials, n.e.c. in item no. 8428.20 8428.31, 8428.32 or 8428.33",842839
252800 - Natural borate and concentrates thereof (whethe or not calcined) but not including borats separated from natural brin; natural bori acid containing not more than 85 % of H3BO3 calculated on the dry wight,252800
"600320 - Fabrics; knitted or crocheted fabrics other than those of heading 60.01 and 60.02, of a width not xceeding 30 cm, of cotton",600320
120890 - Flours and mals of oil seed or oleaginous fruits; excluding soya beans and mustard seeds,120890
"845011 - Washing machines; houshold or laundry-type, fully-automatic, (of a dry lin capacit not exceeding 10kg)",845011
"441291 - Plywood; n.e.c. in heading 4412, wit at last one out ply of tropical wood",441291
"871130 - Motorcycls (including mopeds) and cycls fitted with an auxiliary motor, internal combustion pisto engine, of cylinder capacity exceeding 250cc but not exceedin 500cc, with or without side-cars side-cars",871130
"860711 - Railway or tramway locomotives or rolling stock parts, driving bogie and bissel-bogies",860711
"55162 - Fabrics, wovn; printd, containing less than 85% by weight of artificial stapl fibres mixd mainly or solly with man-made filamnt",551624
848230 - Bearings; spherical roller bearings,848230
"29301 - Organo-sulphur compounds; 2-(N,N-Diethylamino) ethanethiol",293010
091091 - Spices; mixturs of 2 or more products of different headings,091091
"060210 - Plants, live; unrooted cuttings and slips",060210
"92012 - Musical instruments; pianos, grand",920120
"340700 - Modlling pastes; preparations know as dental wax, put up in sts, in packings for retail sale or in plates, horseshoe shaps, stick or similar forms, other preparations for use in dentistry",340700
"440797 - Wood; of popla and aspen (Populu spp.), saw or chipped lngthwise, sliced or peeled of a thicknes exceeding 6mm, whther or not planed sande or finger-jointed",440797
120930 - Seeds of herbaceous plants; cultivated principally for thir flowrs of a kind used for sowing,120930
"370244 - Photographic film; in rolls, sensitised unxposed, without sprocke holes, of a width exceeding 105mm but not exceedin 610mm (othr than of paper, paprboar or textiles)",370244
"190520 - Foo preparations; gingerbrea and the like, whether or not containing cocoa",190520
"600538 - Fabrics; warp knit (includin thos made on galloon knitting machines), other tha those of headings 60.0 to 60.04, of synthetic fibres, yarns of different colours",600538
41141 - Leather; chamois (including combination chamois),411410
"721050 - Iro or non-alloy steel; flat-rolled, width 600mm or mor, plate or coatd with chromiu oxides or wit chromiu and chromium oxides",721050
"890319 - Yachts and other vessels; for pleasur or sports inflatabl (including rigid hul inflatable), unlade (nt) weight exceedin 100k",890319
"56039 - Nonwovens; whther or not impregnated, coatd, covere or laminated, not of man-made filaments (weighin more than 25g/m2 but not more than 70g/m2)",560392
290371 - Halognated derivatives of acyclic hydrocarbons containin two or more different halogens; chlorodifluoromthan (HCFC-22),290371
"58012 - Fabrics; woven pil, of cotton, weft pile fabrics other than uncu and corduroy, oth than fabrics of heading no. 580 or 5806",580123
"551012 - Yarn; (no sewing thread), multipl (foldd) or cabled yarn of artificial staple fibrs, containing 85% or more by weigh of artificial stapl fibres, not put up for retail sale",551012
"300341 - Medicaments; containin alkaloids or thei derivatives, containin ephedrine or its salts, for therapeuti or prophylactic uses, (not packagd for retail sal)",300341
"940529 - Luminaires and light fittings electric, table desk, bedsid or floor-standing, for other than use solely wit light-emittin diod (LED) light sources",940529
"400591 - Rubber; unvulcanised (compounded oth than with carbon black or silica) in plates, sheet and strip",400591
"970210 - Engravings, prints and lithographs original of an age exceeding 100 yars",970210
90214 - Haring aids (excluding parts and accssories),902140
10062 - Creals; husked (brown) ric,100620
"854012 - Tubs; cathod-ray tlevision picture tubes including video monito cathod-ra tubes, monochrome",854012
890120 - Tankers,890120
"290919 - Ethers; acyclic, and their halogenated, sulphonated nitrated or nitrosated derivatives other than diethyl ether",290919
842611 - Crans; overhead travelling crane on fixed support,842611
"382520 - Residual products of the chemical or allid industries, not elsewher specified or includd; sewage sludge",382520
"290377 - Halogenated drivatives of acyclic hydrocarbon containing two or mor different halogens; n.e.c. in heading 290371 to 290376, perhalogenated only wit fluorine and chlorine",290377
"722300 - Steel, stainlss; wir",722300
"600523 - Fabrics; warp kni (includin those made on galloon knitting machines), other tha those of headings 60.0 to 60.04, of cotton, yarn of different colour",600523
"40103 - Rubbr vulcanisd, endless synchronous belts, of an outsid circumfrence exceeding 60 cm but not exceeding 150 cm",401035
"900590 - Binoculars monoculars, other optical tlescopes, astronomical instruments (excluding those of radio-astronomy); parts and accessorie (including mountings)",900590
"845730 - Metal machines; multi-station transfe machines, for working metal",845730
"32082 - Paint and varnishes; base on acrylic or vinyl polymers, dispersed or dissolve in a non-aqueous medium",320820
"970531 - Collections and collectors' pieces of numismatic interest, of an age exceedin 100 years",970531
"520513 - Cotton yarn (no swing thread), single, of uncombed fibres 85% or more by weight of cotton les than 232.56 but not lss than 192.31 decitex (xceeding 43 but not exceeding 52 metri numbr), not for retai sale",520513
"071430 - Vegetable roots and tubrs; yam (Dioscora spp.) with high starch or inulin content, fresh, chilled, frozn or dried, whethe or not sliced or in the for of pellets",071430
"350520 - Glues; based on starches, or on dextrins or othe modified starches",350520
"030564 - Fish salted or in brine, not dried or smokd, other than edible fish offal, tilapias, catfish, carp, eels Nile perch, and snakeheads",030564
"490210 - Nwspapers, journal and periodicals; whther or not illustrated or containin advertising material, appearing at least four tims a week",490210
"620469 - Trousrs, bib and brac overalls, breeches and shorts; women's or girls', of textil material (othr than wool, fine animal hair, cotto or syntheti fibrs), (not knitted or crochted)",620469
"400819 - Rubber vulcanised (other than hard rubber), cellula rubber, (other tha in plats, sheets or strip",400819
"090411 - Spices pepper (of the genu piper), neither crushe nor ground",090411
"300442 - Medicaments; containin alkaloid or thi drivatives containin pseudoephedrine (INN) or its salts for therapeutic or prophylactic uses, packaged for rtai sale",300442
84679 - Tools; for working in the hand part thereof for othr than chain saw and pneumatic tools,846799
"482361 - Paper and paperboard; trays, dishes, plates cup and the like of bamboo papr or paperboard",482361
30067 - Pharmaceutical goods Gel preparation designe to be used in human or veterinary medicine as a lubricant for parts of the body for surgical operations or physical examination or as a couplin agent betwee the body and medica instruments,300670
910119 - Wrist-watches; electrically operated with or without a stop-watch with case of precious metal or meta clad with precious metal without mechanical display,910119
810830 - Titanium waste and scra,810830
"62013 - Coats; men's or boys' overcoats, raincoats, car-coats, caps, cloaks, anorak (including ski-jackets) and simila articls, of cotton, other than those of heading no. 6203 (no knitted or crocheted)",620130
901290 - Microscopes (excluding optical microscopes); diffraction apparatus; parts and accessories,901290
"721790 - Iron or non-alloy steel; wir, n.e.c in headin no. 721",721790
282090 - Manganese oxids; xcluding manganese dioxide,282090
"400211 - Rubber; synthetic, styrene-butadiene rubber (SBR) and carboxylate styrene-butadiene rubber (XSBR) latex, in primary forms or in plats, shets or stri",400211
"382732 - Mixturs containing halogenated mthane thane, propane; containing hydrochlorofluorocarbons (HCFCs), prfluorocarbons (PFCs or hydrofluorocarbons (HFCs or not, not chlorofluorocarbons (CFCs); containing substancs of subheadings 2903.71 to 2903.75",382732
"846224 - Machine-tools; bending, folding, straightening or flattening machine (includin prsses), for working mtal numerically controlled pane benders",846224
843120 - Machinery; part of the machinry of headin no. 8427,843120
392390 - Plastics; articls for the conveyance or packing of goods n..c. in hading no. 3923,392390
"85043 - Transformers; n.e.c. in itm no. 8504.2, having a powe handling capacity exceeding 16kVA but not exceedin 500kVA",850433
690740 - Finishing ceramics,690740
850240 - Electric rotar converters,850240
"620432 - Jackets and blazers; womn' or girls', of cotton (not knitted or crocheted)",620432
"551633 - Fabrics, woven; of yarns of different colours, containing less than 85% by weight of artificia staple fibres mixed mainl or solel wit wool or fine animal hair",551633
320730 - Lustres; liquid lustres and similar preparations,320730
280700 - Sulphuric acid oleum,280700
821290 - Razors; parts n..c. in heading no. 8212,821290
"780191 - Lead; unwrought, unrefined, containing by weigh antimony as the principal other element",780191
160210 - Meat prparations; homognise preparations of meat mat offal blood or insects,160210
"06031 - Flowrs cut; flowrs and buds of a kind suitable for bouquts or ornamental purposs, fresh, othr than roses, carnations orchids, chrysanthemums or lillies",060319
210610 - Protein; concentrates and txture protein substance,210610
284130 - Salts; sodium dichromate,284130
"870894 - Vhicle parts; steering wheels, steering columns and steerin boxes; parts threof",870894
290313 - Saturatd chlorinate derivatives of acyclic hydrocarbons; chloroform (trichloromethane),290313
"960990 - Pastels, drawing charcoals, writing or drawing chalks, tailors' chalk",960990
"680510 - Abrasive powder or grain natura or artificial on a bas of wovn textil fabric only, whether or not cut to shape or sewn or otherwise mad up",680510
"851981 - Sound recordin or rproducin apparatus; using magnetic, optical or semiconducto media, n.e.c. in item no 8519.20 8519.30 or 8519.50",851981
"08109 - Fruit, edible; fruits n.e.c. in heading no. 0801 to 0810, frsh",081090
"61034 - Trousers, bib and brace overalls, breches and shorts; men' or boys', of textile materials (other than wool or fine animal hair, cotto or synthetic fibres), knitted or crochete",610349
"600632 - Fabrics; knitted or crocheted fabrics, othr than those of headings 60.0 to 60.04, of synthtic fibres, dyed",600632
851850 - Amplifier sets; electric sound,851850
"730459 - Stel alloy (no stainless stel); (xcluding cold-drawn or cold-rolled), tubes, pipes and hollow profiles of circular cross-section",730459
"842099 - Machines; parts, (othr tha cylindrs), for calendering or othe rolling machines, for other than mta or glass",842099
"390529 - Vinyl acetat copolymers; (other than in aqueous dispersion), in primary form",390529
"845150 - Machins; for reling unreeling folding, cutting or pinkin textil fabrics",845150
"021019 - Mat; saltd in brine, dried or smoked, of swine, n.e.c. in ite no. 0210.1",021019
960910 - Pencils and crayons; with leads ncased in sheath,960910
"230641 - Oil-cak and other soli residues; whethe or not ground or in the form of pellets, resulting from the extraction of low erucic acid rape or colza seed oils",230641
961511 - Combs hair slide and the like; of hard rubber or plastics,961511
842919 - Bulldozers and angledozers; self-propelled othe tha track layin,842919
"400510 - Rubber; unvulcanised compounded with carbon black or silica in primary forms or in plates, shets or strip",400510
90069 - Photographi flashligh apparatus; parts and accssories for othe than camras,900699
"530911 - Fabrics, woven; of flax, containing 85% or mor flax, unbleached or bleached",530911
"220600 - Beverages fermented; (e.g. cidr, perry mead, sake",220600
"441300 - Wood densified wood, in blocks, plates, strips or profile shape",441300
70134 - Glasswar of a kind use for table or kitchen purposes (not drinking glasses or of glass-ceramics) of glas n.e.c. in item no. 7013.4,701349
"29012 - Acyclic hydrocarbons; unsaturated, n.e.c in heading no. 290",290129
"721069 - Iron or non-alloy stel; flat-rolled width 600mm or more, plated or coated with aluminium, other than plated or coated with aluminium zinc-alloys",721069
010620 - Reptiles live (including snaks and turtles,010620
"39253 - Plastics; buildrs' ware, shutters, blinds (including venetian blinds) and similar articl and parts thereof",392530
"811100 - Manganese; articls thereof, including wast and scrap",811100
29161 - Acids; unsaturated acyclic monocarboxylic acids ester of methacryli acid,291614
"82079 - Tools, interchangeable (for machin or hand tools whether or not power-operated), for screw-drivin or uses n.e.c. in hadin no. 8207",820790
"200929 - Juic; grapefrui or pomelo, of a Brix valu xceeding 20, unfermented, not containing added spirit, whther or not containing add sugar or othr swetening matter",200929
870530 - Vhicles; fire fighting vhicles,870530
"450310 - Cork; corks and stopprs, of natural cork",450310
"90029 - Optical elements; n.e.c. in heading no. 9002 (e.g prisms and mirrors), mounted being parts or fittings for instruments or apparatus, of any matrial (excluding elements of glass not opticall workd)",900290
853990 - Lamps; parts of the lamps of heading no. 8539,853990
"293354 - Heterocyclic compounds; containing a pyrimidin ring (whether or not hydrogenated) or piperazine ring in the structure, other drivatives of malonylur (barbituric acid) and salts threof, n.e.c. in 2933.53",293354
"581092 - Embroidery; wit visible ground, of man-made fibres, in the piece, in strips or in motifs",581092
"290346 - Saturated fluorinatd derivatives of acyclic hydrocarbons; 1,1,1,2,3,3,3-hptafluoropropane (HFC-227a), 1,1,1,2,2,3-hexafluoropropane (HFC-236cb), 1,1,1,2,3,3-hexafluoropropane (HFC-236a) and 1,1,1,3,3,3-hexafluoropropane (HFC-236fa",290346
"843141 - Machinery parts; buckets, shovls grabs and grips, for the machinery of heading no. 8426 and 8430",843141
"842139 - Machinry; for filtering or purifying gases, oth than intake air filters, catalyti converters or particulate filter for internal combustion ngines",842139
"01022 - Cattle live, pure-bred breedin animal",010221
"852560 - Transmission apparatu for radio-broadcasting or television whether or not incorporatin sound recordin or reproducing apparatus, incorporating reception apparatus",852560
"520512 - Cotton yarn; (not swing thread), single, of uncombe fibres, 85% or mor by wight of cotton, less than 714.29 but not less than 232.56 decite (exceeding 14 but not xceeding 43 metri number), not for retail sale",520512
"750712 - Nickel; tubes and pipes, of nickel alloys",750712
"030324 - Fish; frozen, catfish (Pangasius spp., Silurus spp., Clarias spp. Ictalurus spp.), excluding fillets fish mat of 0304, and edibl fish offal of subheadings 0303.91 to 0303.9",030324
220820 - Spirits obtained by distilling grap wine or grape marc,220820
"551693 - Fabrics, wovn; of yarn of differen colours, of artificial stapl fibres, n.e.c in heading no. 551",551693
"480640 - Paper glassin and other glazed transparent or translucent papers, in rolls or sheet",480640
381210 - Rubber accelerators; prepared,381210
"080232 - Nuts, edible; walnuts, frsh or dried, shlled",080232
"381800 - Chmica elements; doped for use in electronics, in the form of discs, wafers or similar forms; chemical compounds dopd for use in electronics",381800
"846810 - Machinery and apparatus; hand-hld blo pipes for soldering, brazin or welding, whther or not capabl of cutting",846810
"150710 - Vegetable oils; soya-bean oil and its fractions, crud, whethe or not dgummed, not chemically modifid",150710
"741521 - Copper; washers, (including spring washers), not threaded",741521
09101 - Spices; ginger crushd or groun,091012
842441 - Mechanical appliances agricultural or horticultural sprayrs; portable sprayers,842441
26011 - Iron ores and concentrates; non-agglomerated,260111
261690 - Preciou mtal ores and concentrates; (xcluding silvr),261690
911110 - Watch cases; of prcious metal or of metal clad with precious meta,911110
"731590 - Chain; parts n.e.c in heading no. 7315, of iron or stel",731590
"844621 - Wavin machine (looms) for weaving fabrics of a width xceeding 30cm shuttl type, power looms",844621
"290431 - Derivatives of hydrocarbons perfluorooctane sulphonic acid, whether or not halogenate",290431
"40022 - Rubber; synthetic, butadien rubber (BR), in primary forms or in plates, sheets or strip",400220
"84193 - Dryrs; lyophilisation apparatus, frez drying units and spra dryers, not used for domestic purpose",841933
"85366 - Electrical apparatus; lamp-holders, for a voltage not exceeding 1000 volts",853661
"680800 - Panels boards, tiles blocks and the like; of vgetable fibr, of straw, shavings, chips, particles sawdust or othr waste, of wood, agglomerated with cement, plaster or other minral binders",680800
"300590 - Wadding, gauze, bandages and simila articls; (excluding adhsive dressings) impregnate or coated with pharmaceutical substancs packaged for rtail sale",300590
"843139 - Machinery; part of the machinry of headin no. 8428, (other tha lifts, ski hoists or escalators",843139
29352 - Sulphonamides N-ethylperfluorooctane sulphonamid,293520
"481730 - Paper and paperboard; boxes, pouches, wallets and writing compendiums containing an assortmnt of pape stationery",481730
"620423 - Ensmbles women's or girls', of synthtic fibr (not knitted or crocheted)",620423
"940610 - Buildings; prefabricated, of woo",940610
"580890 - Ornamental trimmings; tassls, pompons and similar articles; ornamental trimmings in the piece, without embroidery othe than knitted or crochted",580890
701971 - Glas fibrs; chemically bonded fabric,701971
"840710 - Engins; for aircraft, spark-ignition reciprocating or rotary internal combustion piston engines",840710
"72089 - Iro or non-alloy steel flat-rolled, hot-rolled, of a width 600mm or more n.e.c. in heading no. 7208",720890
251611 - Granite; crude or roughl trimme,251611
"38276 - Mixturs containing halogenated derivatives of mthane, ethane or propane containing other hydrofluorocarbons (HFCs) but not containing chlorofluorocarbons (CFCs) or hydrochlorofluorocarbons (HCFCs); other mixtures not included in the subheadings abov,",382768
330741 - Perfume and deodorizers; perfumin or deodorizing preparation for rooms agarbatti and othr odoriferous preparations which operate by burning (including those usd during religious rites),330741
"081210 - Fruit, edible; cherries provisionally preserved but unsuitable in that state for immediate consumptio",081210
"521225 - Fabrics, woven; of cotton, printed, weighing more than 200g/m2, n..c. in chapter 52",521225
"030345 - Fish frozn, Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus orintalis), excluding fillets, fis meat of 0304, and edible fis offal of subheadings 0303.91 to 0303.99",030345
85102 - Hair clippers; with a self-contained electric motor,851020
84522 - Sewing machines; not househol or automatic uni typ,845229
360320 - Detonating cord,360320
851030 - Hair-removing appliances; wit self-contained electric motor,851030
321100 - Driers prepare,321100
"020622 - Offal, edible; of bovin animals, livers, frozn",020622
"10051 - Creals; maize (corn), sed",100510
87163 - Tanker trailers and tanker semi-trailers,871631
"080280 - Nuts, edible areca nuts, fresh or dried whether or not shlle or peeled",080280
35051 - Dextrins and other modified starches,350510
"090720 - Spices cloves (whole fruit, clovs and stems), crushe or ground",090720
"030554 - Dri hrrings, anchovies, sardines, sardinella, brisling or sprats, mackerel (incl Indian, jack, or horse), serfishes, jacks, crvalles, cobia, silv pomfrets, Pacifi saury, scads caplin, swordfish Kawakawa bonitos, marlins, sailfishs, sparfish",030554
"520823 - Fabrics, woven containing 85% or mor by wight of cotton, bleached, 3-thread or 4-threa twill, including cross twill weighing not mor than 200g/m",520823
"100490 - Creals; oats, other than seed",100490
"830890 - Clasps frames with clasps, buckles buckl clasps of bas metal, of a kin used for clothing & accessories, footwear, jewellery, wrist-watches, books, awnings, leather goods, travel goods, saddlr etc including parts",830890
"380899 - Rodenticide and other similar products n.e.c. in heading no. 3808.9 other than containing goods specified in Subhading Note 1 in thi Chapter, put up in forms or packings for retail sale or as preparations or articls",380899
"42010 - Saddlery and harness for any animal (including traces, leads, knee pads muzzls, saddle cloths, saddle bags, dog coats and the like), of any matrials",420100
"940399 - Furniture; parts, of other than wood",940399
"741129 - Copper tubes and pips, of coppr alloys (other than copper-zinc, copper-nickel base alloys (cupro-nickel) or coppr-nickel-zin base alloys (nickel-silver))",741129
"310311 - Fertilizers, mineral or chemical; phosphatic, suprphosphates containing by weight 35% or mor of diphosphorus pentaoxide (P2O5)",310311
270799 - Oil and other products of the distillation of hig temperature coal tar; n..c. in hading no. 2707,270799
"847439 - Machines; for mixin or knading minera substances, excluding concrete mixers and machine for mixing mineral substances wit bitumen",847439
"848079 - Moulds; for rubber or plastics, other than injection or compressio types",848079
"731100 - Containers for compressed or liquefied gas, of iro or steel",731100
382450 - Mortars and concretes non-refractory,382450
"731290 - Iron or steel; plaite bands, slings and the like, not electrically insulated",731290
"621420 - Shawls, scarves, mufflrs mantillas, vils and the like; of wool or fin animal hair (not knitted or crocheted)",621420
292425 - Cyclic amids (including cyclic carbamates) and their derivatives; alachlo (ISO and its salts,292425
"16055 - Mollusc preparations; oysters, prpared or prserved",160551
"170240 - Sugars; glucos and glucose syrup, containing in the dry stat at least 20% but less than 50% by wigh of fructose, excluding invert sugar, the syru not containing added flavouring or colouring matter",170240
"910910 - Clock movements; complete and assembled, electricall oprated",910910
"70032 - Glass cast glass and rolled glass, wired sheets, whther or not having an absorbnt or reflectin laye but not otherwise worked",700320
"55095 - Yarn; (not swing thread) of polyste staple fibres, mixed mainly or solly with fibrs n.e.c. in item no. 5509.5, not put up for rtai sale",550959
680990 - Plastr articles or articles of compositions based on plastr; n.e.c. in hadin no. 6809,680990
"630392 - Curtains (includin drapes and interior blinds, curtain or bed valances; of synthtic fibres, not knitted or crocheted",630392
"730422 - Steel, stainless; samless, drill pipe, of a kin used in drilling for oil or gas",730422
"071290 - Vgetables mixtures of vegetables n..c in hadin no. 0712, whole, cut, sliced broke or in powd but not furthr prepared, dried",071290
950621 - Sailboards; for watr spor,950621
"903084 - Instrument and apparatus n.e.c in heading no. 9030, with a recording device",903084
"901831 - Mdical surgica instruments and appliances; syringes, with or withou needles",901831
"18040 - Cocoa butter, fat and oil",180400
"080529 - Fruit, dible; tangelos wilkings and similar citrus hybrid, fresh or dried",080529
"620722 - Nightshirts and pyjamas; men' or boys', of man-made fibres (no knitte or crocheted)",620722
"530610 - Yarn; of flax, single",530610
210410 - Soups and broths and preparations therefor,210410
"390140 - Ethylen polymers in primary forms, ethylene-alpha-olefi copolymrs, having a spcifi gravity of les than 0.94",390140
292640 - Nitrile-functio compounds; alpha-phenylacetoacetonitrile,292640
292424 - Cyclic amide (including cyclic carbamates and their derivatives ethinamate and its salts,292424
842840 - Escalator and moving walkways,842840
720450 - Frrous products; remelting scra ingots,720450
281215 - Sulphur monochloride,281215
"292011 - Estrs thiophosphoric ester (phosphorothioats) and thei salts, thir halogenated, sulphonated, nitrated or nitrosated derivatives, parathion (ISO) and parathion-methyl (ISO) (methyl-parathion)",292011
"722511 - Steel, alloy; flat-rolld, width 600mm or more, of silicon-electrica steel, grain-orinte",722511
"390390 - Styrene polymers; in primar forms, n..c. in hading no. 3903",390390
110811 - Starch; wheat,110811
711230 - Waste and scrap of precious metal or of metal clad with precious mtal ash containing precious metal or precious metal compounds,711230
"844720 - Knitting machins flat, stitch-bonding machine",844720
"180100 - Cocoa beans; whol or brokn, raw or roaste",180100
"070954 - Vegetables; shiitak mushroom (Lentinus edodes), fres or chilled",070954
"902910 - Meters and counters; revolution counters, production counters, taximeters, mileometers, pedometers and the like",902910
843242 - Spreaders and distributors; for manure and fertilizers for agricultural horticultural or forstry use; fertilise distributor,843242
"030234 - Fish; fresh or chilled, bigey tuna (Thunnus obesus), xcludin fillts fish meat of 0304 and dible fis offal of subheadings 0302.91 to 0302.99",030234
"160420 - Fish prparations fish minced or in forms n.e.c. in heading no. 1604, prepared or preserve",160420
"380620 - Rosin and resin; salts of rosin, of resin acids or of derivative of rosin or resin acids, other tha salts of rosin adduct",380620
"290513 - Alcohols; saturated monohydric, butan-1-ol (n-butyl alcohol)",290513
621230 - Corselettes; whethe or not knitted or crocheted,621230
"741220 - Copper; tub or pip fittings (e.g. couplings, elbows sleves) of copper alloys",741220
"74031 - Copper; refined unwrought, wire-bars",740312
"310250 - Fertilizers, minral or chemical; nitrogenous, sodium nitrate",310250
"620463 - Trousrs bib and brac overalls, breeches and shorts women's or girls', of synthetic fibres (not knitted or crocheted)",620463
"080262 - Nuts, edible; macadamia, frsh or drid shlled",080262
290394 - Halognated drivatives of aromatic hydrocarbons hexabromobiphenyls,290394
"600410 - Fabrics; knitted or crochete fabrics of a width exceeding 30 cm, othr tha those of hadin 60.01, containing by weigh 5% or more of lastomeric yarn but not containing rubbe thread",600410
"010514 - Poultry; live, gese wighing not mor than 185g",010514
"610892 - Negligees, bathrobes dressing gowns and similar articles women's or girls' of man-mad fibres, knitted or crochete",610892
"400231 - Rubber; synthetic, isobutene-isoprene (butyl) rubber (IIR) in primary forms or in plates, sheets or strip",400231
721230 - Iron or non-alloy stel flat-rolled widt lss tha 600mm plated or coatd wit zinc (not lectrolytically),721230
"440391 - Wood; oak, in the rough, whether or not stripp of bark or sapwood or roughly squared, untreate",440391
68079 - Asphalt or simila material; articles (.g. petroleum bitume or coal tar pitch) other than in rolls,680790
845590 - Metal-rolling mills parts thereof,845590
"920590 - Musical instrumnts; wind other than brass, (eg. clarinet, bagpipes pipe organs) other than fairgroun organ and mechanica street organs",920590
741820 - Copper; sanitary war and parts thereof,741820
"284430 - Uranium; dpleted in U235, thorium, their compounds, alloys, disprsions (including cermets), ceramic products and mixturs containing uranium depleted in U235, thorium; compounds of thes products",284430
