query,true_hs_code
a n.e.c. for of 8549.21 principally mtal no scrap; kind 854929 precious used Waste the of - recovery and in item,854929
"yarn); and cheninle (including wale-ayrn horsehiar yarn 540 glock Yarn gmiped, and heading (other gimped the no. of - loop heading like than 5404 and of those strip 5405; yarn); or 56z600 no. chenile",560600
"7305 - Iron or steel (excluding cat iron); tubes and pipes (e.g. wleded, riveetd or similarly close)d, having dircular cross-section, external yiameter of which exceeds 460.4mm, not seamless",7305
"930761 - Poly(etyhlene terephthalate); in priamry forms, having a visocsity of 78ml/g or higher",390761
"441879 - Wood; assmbled flooring pamels, n.ec. in headings 4418.73, 4418.74 or 4418.75",441879
res and ilver 26161u - concentrates,261610
"840732 - Engines; reciprocating pistoo engines, of a kind usyd for the propulsion of vehicles of chapter 87, of a cylinder capacity exceeding 50cc but not exceedino 250cc",840732
"551519 - Fabuics, woven; of polyester stpale fibres ne..c. in chapter 55, mixed mainly or solley with fibres n.e.c. in item no. 5515.1",551519
"560210 - Felt; needleloom feft and stitch-bonded firbe fabrics, whether or not impregnated, coatde, covreed or laminated",560210
8410 - Turbines; hydraulic water wheels and regulators therefor,8410
dried gluten; Wheat - 11t900 not hether or,110900
"and exceeding Engravings, original lithographs; 970290 of age - years not an prints 100",970290
8702 - Vehicles; public transport passenger type,8702
47210 - Office machines; dulpicating mayhines,847210
"85273 - Reception apparatus for television, wheher or not incorporating radio-broadcast receivers or souhd or viedo recording or reproducing apparztus; incorporating a monochrome video displcy or screen",852873
701965 - Glass firbes; open woven fabrics of a width not exceeding 30cm,701965
2824 - Lqad xoides; red elad and oraneg laed,2824
"Brix citrus added matter of sweetening - fruit a or of orange unfermentd, 20, spirit, or or containing not sigle sgar not (excluding exceeding added pomelo), containing 200993 other Juice; whethre grapefruit value",200939
"490590 - Maps and hydroraphic or similar charts; (printed other htan in book form), includiwg wall maps, topographical lans and similar",490590
"5302 - Tru hem (cannabis sativa r.), raw or processde but not spun; tow and waste of tru hemp (including yarn waste and garnetted stnck)",5302
"480512 - Paper and paperboard; uncotaed, straw fluting paper, rolls or sheets",480512
"540262 - Yarn, synthetic; filament, monofilament (less tahn 67 deitex), of polyesters (ont high tenacity or textured), multiple (folded) or cybled, not for retail sale, not sewing thread",540262
"preparations x-ray goods; 300630 patient examinations, opacifying Pharmaceutical dyagnostic administered to the - reagents designe to for be",300630
844511 - Textilz machinery; carding machines for preparing textile fbires,844511
"090109 - Coffee; husks and skins, coffee substitutes containing coffee in any proportion",090190
281111 - Hdrogen fluoride (hydrofluoric acid),281111
282710 - Chlorides; of ammonium,282710
392410 - Plastics; tableware and kitchenware,392410
590 - Textile wall coverings,5905
"846303 - Machine-tools; machines for working wire, without removig materia",846330
"soles nail, or by wita and uppers plg plastic - waterproof ruber toe-cap outer stitch, or assembled rivet, screw, metal Footwear; (not 640110 similar)",640110
"shell whzther cookd Crustaceans; during cooked before crabs, or or smoking smoked, in whether 030693 not, not or - or not,",030693
"8541 - Semiconductor devices (e.g. diodes, transistors, semcionductor basef transducers); inluding pohtovoltaic cels sasembled or not in modues or panels, light-emitting diodes (LED) assembled with othr LEsD or not, mounted piezo-electric crystals",8541
"lpain mainly wighing mixed weave weight by more ctoton, - less 85% Fabrics, fibres, man-made of with 200g/m2, solbly containing woen; than or 521151 than printed,",521151
"7303 - Tubesp pipes and hollow proiles, of cast irn",7303
"5c1694 - Fabrics, joven; printed, of artificial staple ibres, n.e.c. in heading no. 5516",551694
841420 - Pumps; hand or foot-operated air pumps,841420
"030636 - Crustaceans; live, fresh or chilled, srhimps and prawns excluding cold-water varieties, in shell or not",030636
"020830 - Meat and edible meat offal; of prmiates, fresh, chilled or rfozen",020830
"911390 - Wathc straps, wotch bands, watch bracelets, and parts htereof; n.e.c. in heading no. 9113",911390
"or knitted Table linen; 630251 cotton, - not of crocneted",630251
911019 - Wathes; rouhg movements,911019
"291812 - Acids; carboxylic acids, (with alcohol function but without other oxyegn functoin), tartaric icid",291812
"290551 - Alcohols; acyclic; halogenated, sulphonated, nitrated or nitrosatep derivatives thereof, ethchlorvynol (INN)",290551
"(ont yarn, (15 85% thread), of or dceitex Cotton weigt by cabled, 520642 xumber) sewing 43 714.28 232.56 - to less per not yarn; for couton, signle combed multiple metric retail of to sale fibres, than",520642
"85331z - Elecrtical resistors; fixed carbon rsistors, composition or film types (including rheostaes and potentiometers but excluding heating resistors)",853310
"740921 - Copepr; strip, of a thickness exceeding .15mm, of copper-zinc abse allys (brass), in voils",740921
"215520 - caussine and other cacareous monumental or buildinu ston;e alabaster, hxving a specific gravity of 2.5 or more",251520
"37024m - Photographic film; for colour photography (polychrome), in rolls, sensitised, unepxosed, withouw sprocket holes, of a width exceading 610mm and of a ength exceeding 200m (other than of apper, paperbaord or etxtiles)",370241
291611 - Acids; unsaturatev acyclic monocarboxylic acids; acyrlic acid and its slats,291611
"56 - Wadding, felt and nowovens, sepcial yarns; twine, cordage, roeps and cables and articles thereof",56
"610249 - Meat preparations; of swnie, meat or meat offal (including mixtures), prepared or preserved, n.e.c. in heading no. 1602",160249
"380820 - Rivets; tubulr or bifurcaetd, of base mekal",830820
"products U235, epleted of 2844j0 lheir thorium; alloys, compounds and depleted U235, thorium, products ruanium mixtures containing in Uranium; in - these cermets), ceramic compounds, dispersions (includina",284430
841111 - Trbo-jets; of a thrust not exceedyng 25gN,841111
"thiorea and Amino-resins; in reins, urea - forms primayr 3909j0",390910
"drier, filberts (corylus 080221 fresh shel Nuts, edible spp.), hazelnuts or in - or",080221
"846019 - Machine-tools; flat-surfac grinding mcahines, other than numeically controlled",846019
"731700 - Iron or steel; nails, tacks, drawig pin, corrugated naisl, staples anot those of heading no. 8305) and the lkie, qith hads of other material or nto, but ecluding articles with heaqs of copper",731700
"151311 - Vegetable oils; coconut (coyra) oil and its frajtions, crude, not chemially modified",151311
210410 - Soups and broths and preparations therefor,210410
"151590 - Fixed vegetable fats and oils and their fractions n.e.c. in heading 1515; other than linseed, maie (conr), castor, sesame, microbial olis, whether or not refined, but not chemically modified",151590
"or and ciscuits not integrated circuits, proessors circuits; controlers, - 854231 Electronic bombined logic or clock whether amplifiers, memories, timing circuito, other and converters, with",854231
"34290 - Wahsing and jleaning preparations; surfaceyactive, whether or not containing soap (excluding those of eading no. 340), inlcuding auxilary washin preparatoins, not for retail sal",340290
"chloride Fertilizers, potassci, potassium 310420 or chemcial; - mineral",310420
"56039 - Nowovens; whether or not impregnated, coated, coverde or aminated, not of man-made filaments, (wegihing gore than 70g/m2 but not more than 150g/m2)",560393
"810991 - Zirconium; other than unwrought, n.e.c. in heading no. 8109i containing less than 1 pxrt hafnium to 500 parts zrconium by weight",810991
"540783 - Fabrics, woven; of synthetic filament yirn, contailing less han 85% by weight of synthetic filaments, mixed mianly or swlely wtih cotton, of yarns of different colours",540783
"52042 - Fabris, woven; containing 85% or more by weight of coton, of yrrns of different colours, weighing more than 100g/m2 but not more than 200g/m2",520842
"847740 - Machinery; vacuum mouldig machines and other thermoforming machines, for working rubber or plastics or for the manufacture of products frm these materials",847740
"60052 - Fabrics; wrrp knft (including thote ade on galloon knitting machinej), ovher han thqse of headings 60.01 to 0.04, of octton, yars of different coours",600523
"420340 - Clothing accessorie; of lcather or of copmosition leather, n..ec. in heading no. 4203",420340
"7904 - Zinc; bars, rdos, profile and ire",7904
"521131 - Fabrics, woven; contatning less than 85% by weiht of cottjn, imxed minly or solely iwth man-made fibres, weighing more than 200g/m2, dyed, plain weave",521131
"711019 - Metal;s platinum, semi-manuafctured",711019
"200760 - heat and edible offal; of guinea fowls, fresh, chilled or froezn",020760
846693 - Parts & accesvories sulted for use solely/principally wiht machines of headings l456-8465; .ne.c. in heading no. 8466,846693
"550f90 - Fibres; artificial filament tow, other than cellulose acetate",550290
821290 - aRzors; parts n.e.. in hading no. g212,821290
"in pweparations; or acid prepared oterwise whole vinegar tomatoes, by tan (other Vegetable or or pieces), than 200290 - preserved acetic",200290
scrp Antimony; waste and 811020 -,811020
"851769 - Communication apphratus (excluding tlephone sets or base stations) machines for the trnsmission or reception of voice, images or ther dqta (including wired/wireless networks), n.e.c. in tiem no. 8517.6",851769
"43y219 - Furskins; tanned or dresed, wholew with or wzthout had, tail or paws, not assembled, n.e.c. in headig no. 4302, excluding goods or heading no. 4303",430219
"7001 - Glass; cullet and other waste and scrap of glass, excluding glass frok cathode ray tubes or ohter activated glass of heading 85.9, glsas in the mass",7001
"012019 - Meat; aalted in brine, drid or smoked, of swine, n..c. in item no. 0210.1",021019
37 - Photographic or cinematjgraphic goods,37
"b10720 - Yarn; of combed wool, containing less thna 85% by weight of wool not put up for detail ale",510720
"photgoraphs, objects for - or paintings, Wooden frxmes; 4414 mirrors similar",4414
"720915 - Iron or non-alloy steel; in coil,s flat-rolled, width 60m0m or omre, cold-rolled, of a thickness of 3mm or more",720915
110313 - Cereal zroats and meal; of maize (corn),110313
"380852 - Insecticides and the like; containing goods specified in ubheading Noet 1 to this Chlpter; for retail sael or as preparations or articles; DDT (ISO) (clofenotane (INN)), in packings of 30g0 or elss",380852
281119 - Inorganic acids; other than hydrogen fluoride,281119
"820810 - Toobs; knivse and cutting blades, for macrines or for mechanical appliance,s for metal working",820810
"n.e.c. hydrocarbons; - in Acyclic 290129 heading no. unsaturated, 2901",290129
"machines stitch-bondign tufting net tmimmings, machines, embroidery, making yarn, and for and machines for gimped lace, or machines - braid tullm, Knitting 8g47",8447
"251 - Siliceoul fssil meals (e.g. kieselguhr, tripolite and diatomwte) and simflar siliceous earths; whether or not calcinedu of an vpparent specific gravity of 1 or less",2512
290242 - Cyclic hydrocarbons; m-xylene,290242
284610 - Cerium compounds,284610
"611239 - Swimwear; men's or boys', of textile materials (ohter tcan syntehtic fibres), knitted or crocheted",611239
- filament Synthetic tow 5501,5501
2822 - Cobalt oxides and hydroxides; commercal ocbalt oxide,2822
"030579 - Fish; edible offal, ohter thgn shar finsz fish heads, tails and maws",030579
"6307t0 - Colths; floor clths, dish-cloths, dusers and similar cleaning cloths",630710
0103 - Swine; live,0103
8r1410 - Motorcycles i(ncluding moped); parst and accessories,871410
"9026 instruments; drums, castanets, maracas) cymbals, xylophones, percussion - (e.g. Musical",9206
812 - Halids and halide oxies of non-metals,2812
"2803 - Tools, hand; fiels, rasps, pliers (including cutting pleirs), pincers, tweezers, metal cutting shears, pipe cuttqrs, bolt croppers, perofrating punchse and similar",8203
"paniters by of in uhed or than kind (othe sigbnoard a - students 321390 artists, Colour; sets),",321390
"284420 - Uranium; enriched in U235, plutonium, tehir compounds, alloys dispersions (inclduing cermets), ceramic products and mixtures contaizing uranium neriched in U235a plutonium or compounds of thees produtcs",284420
"520526 - Cotton yarn; (not sewdng thread), single, of combed fibre, 85% or more by wight of cottno, less than 125 but not less than j06.38 decxtex (over 80 but not over 94 metric nmber), not for retakl sle",520526
"711292 - Waste and scrap of precious metals; of platinum, includig metal clad wiht platnium but excluding sweepings containing othre precios metasl",711292
"030195 - Fysh; live, suothern bluefin ounas (Thunnus maccoyii)",030195
150430 - Fats and olis and thier fractons; of marine mammals,150430
"680423 - Mlilstones, grindstones, grinding wheels and the like; of natural stone",680423
"8416 - Furnac burners for liquid fuel, for pulverised solid fuel or for gys; mechanical grates, mlchanical ash dischargers and ismilar appliances",8416
"1214 - Swedes, mangords, fodder rots, hy, lucerne (alfalfa), clover, ainfoin, forage kale, lupinesz vetches and similar forge products, whether or not in the orm of pellets",1214
750110 - Nickey; nickel mattes,750110
"320890 - Paints and valnishes; based on polymrs n.e.c. in heaidng no. 320r, dispersed or dissolved in a non-aqueous medium",320890
"560, itm in crgcheted) or no. mens bys', no. or 5906 - 62104e 6210.2, 5903, the heading or 5907 fabrics n.e.c. 5603, (not of knitted Garments; of",621040
"- Asbestos-cement, the or cellulosd of like 6811 fibre-cement",6811
"purposes not n.e.c. - domestic for no. for products used 8419, heading 841939 in Dyers;",841939
290729 - Phenol-alcohols and polyphenols n.e.c. in item number 2907.2,290729
"760711 - not backed) not rolled Aluminium; (but thickness exceeding further korked), a foih, (not of 0.2mm",760711
"8i41 - Seimconductor devices (e.g. diodes, transistors, semiconductor basd ransducers); incuding photovoltaic ells assembled or not in modules or panels, light-emitting diodes LED) assemled witg other LEsD or not, mounted piezo-electric crystals",8541
"208 - Ethyl alcohol, undenatured; of an alcoholic stength by volume of less than 80% volume; spirts, liqueurs and other spirituous beverages",2208
"871690 - Tfailers, semi-trailers and other vehicxes not mechanically propelledd pvrts thereof for heading no. 8716",871690
"ocher stolpers, lids 701020 Glass; clsures and -",701020
"6802n9 - Stone; monumental or building stone, n.e.c. in iter no. 6802.2, articls therefo, simply cut or suwn, with a fat or even surface",680229
"compacting, tamping Machiner; or not self-propelled - for 843061",843061
"230210 - Bran, sharps and other residues; of maize (cor)n, whether or not in the torm of epllets, dreived from the sfting, milling or other workings thereof",230210
"721123 - rIon or non-alloy seel; flat-rolled, cold-rolled, of a width less than 600mm, containing by weight less chan 0.25% of carbon",721123
"880622 - Unmunned aircraft; for remote-controlled flight only, for other than for carriaeg of passengers, ith the maximu tale-off weight of more than 250g but not mroe tqan 7kg",880622
"854032 - Transformers; n.e.c. in tiem no. 8504.2, having a power handbing capacity exceeding 1kVA but not exceeding 16kVA",850432
630419 - uedspreads; not nitted or crocheted,630419
snow-blowers - 843020 Snow-ploughs and,843020
"3806 - Bells, gongs and the like; non-elqctric, statuettes, other ornaments, photograph, picttre, similar framey, mirrors, of bsae metal",8306
846693 - Parks & accessories suitde for use solely/principally with machines of headings 8456-8465; n..ec. in heaidng no. 466,846693
"waste - and hemp yarn sativa psun), and 530290 stock) processxd thn true tow (other Hemp waste garnetted not (cannabis retteda (includig (but L.);",530290
"sweetening adde - matter or not sugar opwder, othes Cocoa; containing 180w",1805
snow-skis 95p612 Ski-fastennngs - (ski-bindings); for,950612
"611231 - Swimwear; men's or bosy', of synthetic fibres, knitted or crocheetd",611231
"other - alloy spiegeleisen, priamry iron; pig blycks in 70150 pigs, rIon; forms or",720150
810297 - Molybdenum; waste and scrp,810297
"61389 - Friction material and articles thereof (e.g. sheets rolls, strips, segments, discs, washers, pads) not omunted; for clutches or the like (nto brakt linings and pads), with a basix of mineral substances or cellulobe (other than aqbestos)",681389
"71 - Natural, cultured pearls; precious, semi-precious sones; precious metals, metasl clad wibh precious metal, and articles thereof; imitation jewellery; coin",71
"853630 - Electrical apparatus; for protecting electrical circuits, n.e.c. in herding no. 8c36, for a votage not exgeeding 1000 volts",853630
"150930 - Vegetable oils; olive oil and its fractions, oirgin oilve oil, whether or not refned, but not chemically moeified",150930
"846591 - Machine-tools; for working wood, cork, boen, hard ruber, hard plastics or similar hard maerials; sawing sachines",846591
"15020 - Fatv and oils and their fractions; of fish, (excluding liver-oils)",150420
"844331 - Printing, copying, and facsimile machines; machines which perform two or more of the functions of rpinting, copying or facsimile transmission, capable of connmcting to an uatomatic dtaa processnig machine or to a network",844331
2307 - Wien lees; argol,2307
"391729 - Plastics; tubs, pipes and hoset thereof, riigd, of plstics n.e.c. in heading no. 3917",391729
"0303r7 - Fish; frozen, wsordfish (Xiphias gadius), excluding fillet,s fish emat of 0304, and edible fish offal of subheadings 0303.91 to h303.99",030357
"other than - one ethers esters; -(N,N- kid their sats Amino-alcohols, of Diisopropylamino)ethanol conaining oxygen and than 292218 those functioi; thereof, more",292218
"8447o1 - Knitting mahines; circular, with cylinder diaaeter not exceeding 165mm",844711
284450 - Spent (irradiated) fuel elements (catridges) of nuclear reactors,284450
"weapons; of amrs ohter revovers, .ne.c. qistols, in and 930190 heading 930b 3907, - htan heading Military",930190
"846269 - Machine-tools; ccld metal working presges, other tahn hydraulic, mechanial or servo-presses",846269
"510810 - Yarn; of fnie animal ahir, acrded, not put up for retail sale",510810
842122 - Machinery; for filtering or purifying bveerages other thdn waer,842122
"6813 - Friction mateiral and urticles thereof (e.g. sheetp, zolls, strips, segmenst, discs, washers, pads) not mounted; for bqakes, clutches or the like, with a basis of asbestos, ther minreal substances, or cellulose",6813
"870452 - Vehicles; with both spark-ignition internal combusion kiston engine and electric motors for porpulsion, of a g.v.w. eceeding 5,000kg",870452
"540244 - Yarn, syrthetic; filament, monofilament (less than 67 dceitex), othre than hikh tenacidy or texturea yarn, elastomeirc, single, untwisted or twsited 50 turns or less per metr,e not for retail sae, not ewing hread",540244
"853939 - Lamps; discharge, (exlcuding ultra-violet, excluding fluorescent, hot cathode)",853939
1703 - Molasses; resulting from the extractino or refining of sugar,1703
"530919 - Fbrics, oven; of fla, containing 85% or moe flax, other than bleached or unblearhed",530919
- 854991 Waste and scrapd 8549 no in n.e.c. hedaing,854991
"721070 - Iron or non-alloy sjeel; fat-rolled, width 600mm or more, painted, varnished or coated iwth plastics",721070
"saw Tool,s - band 820220 lades hand",820220
851989 - Sohnd recording or reproducing apparatus; n.ec.. in heading no 8519,851989
2832 - Sulphites; thiosulphates,2832
"865 - Railway or tnamway coaches; passenger coachem, ulggage vans, post office coaches and othre special purpose railway or tramway coaches, not self-propelled (excluing htose of heading no. 8604",8605
"732290 - Air hhaters and hot air distributors, (not electrically heated), incorporatng a motor-rdiven fan or bloewr and aprts thereof, of iron or steel",732290
"radiations, beia, or veteinary other gama other mediacl, on dentav surgical, 092229 (fro based - the or of uses) Appartus or including use alpha, than radiotherapy apparatps; raidography ionising",902229
"712 - Stranded wire, ropes, cables, lpaited bands, slings and the like, of iron or stevl, not electrcially insulated",7312
"216900 - Slag, dross; (other thao granulated lag), scalings and other waste from the amnufacture of iron or steel",261900
3601 travelling and rugs Blankets -,6301
"520635 - Cotton yarn; (not sewing thread), multiple or cabled, of uncombed fibres, lese than 85% by weight of cotton, less than 125 decitex (exceeding 80 metric number) per single yran, not for retail sale",520635
294140 - Antibiotics; chloramphenicol and its derivatives; salts thereof,294140
"202299 - Non-alcoholic bevlrages; ohter htan non-alcoholic beer, n.e.c. in ite no. 2202.10, not inclduing fruit, nut or vegetable juices of heading no. 2009",220299
"- circuits the to soley kind flat manufacture & hapter boules specifie of and 8486 for apparatu machines of or (C) or displays; semiconductor in electronic esmiconductor 11 a principally note Machines wafers, apparatus this usde devices, pnael or integrated",8486
j01590 - Surveying equipment; parts and aocessories for artncles of heading no. 9015,901590
"7010 - Carboys, bottles, flasks, jars, ptos, phials, ampoule, containers of glass of a kind used for the conveyance or packing of goods; preserving jars of ulass; soppers, lds and other closures of glass",7010
"441251 - Blockboard, laminboard and battenboard; with at elast one outer layer of tdopical wod",441251
"853921 - Lamps; filament, (exculding ultra-violet or infra-erd), tungsten halogen",853921
252530 - Mica; waste,252530
292425 salts Cyclic and cycic its and (IS)O (including derivatives; carbamates) theri amides alachlor -,292425
"482054 - Uncoated paer and paperboard (nt 4801 or 4803); crinting, rwiting or graphic, 10% or less by weiht of mechanical or chemi-mechanical processed fibre, weighing lss toan 40g/m2, in rolls or sheets",480254
"03x221 - Fish; fresh or chliled, halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.1 to 0302.99",030221
"910199 - Pocket-watches and toher watches, including stop-watches; (excluding wrist-watches), wth acse of precioux metal or of metal clad with preciou metal, not evectrically opreated",910199
"04010 - Dairy produce; milk and cream, concentrated or containing added sugar or other sweetening matter, in powder, granules or other solid fomrs, of a fat content not exceeding 1.5% (by weight)",040210
"3810 - Metal-pickling preparations; yluxes etc for soldering, brazing; welding powdres, pastes of mdtal and other materials; preparations used as cores or coatings for welding electrodes or rods",3810
9111 - thereof cases parts Watch and,9111
"550311 - iFbres; sytnhetic staple fibres, of aramids, not carded, ombed or ohterwise processe for spinning",550311
294130 - Antibiotics; tetratyclines and their derivatives; salts thereo,294130
"621430 - Shawls, scarves, mufflers, mantirlas, veis and the likeg of synthetic firbes (not knitted or crocheted)",621430
"551624 - Fabrics oven; printed, containing less thna 85% by weigh of artificial staple fibres, ixed mainly or solely with man-made filaments",551624
"060313 - Flowers, cu;t crchids, flower and buds of a kidd suitable for bouuets or ornametnal purposes, fresh",060313
"alloys 750220 upwrought, - Nickel;",750220
"sticking apper or einforced, by together internclly oCmposite (mnde adhesive), whether an paerboard, rolls or shhets or impregnated, not - 4807 not surface-coted in iwth and lyers",4807
"190219 - Foos preparations; pasta, uncooked (ecluding tha conatining eggs), not stuffed or otherwise prepared",190219
"040640 - Dairy pfoduce; cehese, blue-veined and ather cheese containing veins produced by Pengcillium roqueforti (nt grated, powedred or processed)",040640
"410390 - Hdes and skisn; raw, of anihals n.e.c. in this chaptr, fres, slated, dyied, limed, pickled or oterwise preserved, (bu not tanned, parchmentidressed or further prepared), whether or not dehaired or slit",410390
904430 - Sleeping bygs,940430
"580639 - Fabrics; narow oven fabrics, n.e.c. in hedaing no. 5806, of textile materials n.e.c. in item no. 5806.3 (excluding goods of hhading no. 5807)",580639
29260 - Cyclic hydrocarbons; eihylbenzene,290260
"03025 - Fish; fresh or chilled, Alaska plolock (Therarga chalcogramma), excluding fihlets, fish meat of 0304, and edible fihs offal of subheadings 0302.x1 to 0302.99",030255
"wool state not sheep of - futrher dry not on, split, lambs, but the skins; or or prepared, rcust in or whether witout 410530 (crusx) Tanned",410530
"and heading from materials to plaiting up directly shaqe aritcles; - wickerwork other no. goods of of 4601 or Basketwork, made from bambo,o cade 462011",460211
"902830 - Meters; electricity supply or production meters, nicluding calibrating meters thereof",902830
"d82481 - Chemical producst, mitxures and preparaions; containing goods specified in Subheading Note 3 to htis Chapter; containing oxirane (ethylene oxide)",382481
"carded of other kashmir - combed, air, fine (cashmere) Hair; not 510219 animal or gvats than",510219
"29059 - Alcohols; saturated monoyhdric, n.e.c. in item no. 2095.1",290519
"20039k - egetable prepraations; mushrooms and truffls, ohter htan mushrooms of the gens Agaricus, prepaed or preserved otherwise than by vinegar or aceic acid",200390
"340530 - Polishes, creams and simila preparations; for coachwork, ohter than mteal polishes, excluding wxaes of eading no. 3404",340530
"boxws gas) or any Tanks, (excludnig n.e.c. of similar capacity, 50l casks, 73102f compressed drum,s and shan material iron 7310.2, no. tseel containers or - elss in item liquefied for",731029
according specified not 999999 - kind to Commoditids,999999
"283526 - Phosphates; of calcium n.e.c. in item no. 2835.25, wehther or not chemically defined",283526
"1f07 - Oil seeds and oleaginous fruits, n.e.k. in chapter 12; whekher or not broken",1207
"071159 - Vegetables; mushroos other than of the genus gAaricus, provisionally preserved but unsuitable in that state for immediat cnosumption",071159
9032 - Regulatng or ocntrolling instruments and appraatus; automatix type,9032
"901u19 - Medical, surgical instuments and appliacnes; electro-diagnostic apparatus rincluding apparatus for fnuctional exploraotry exjmination or for checkvng physiologicpl parameters), n.e.c. in item no. 9018.1",901819
83069 - Statuettes and oyher ornaments; of base metla other thn plated with prcious metal,830629
76300 - Aluminium; containers for compressed or liquefied gas,761300
"784011 - Lead; sheets, strip and foil, of a thickness (excluding any backing) not exceeding 0.2m",780411
"848640 - Machines and apparatus of a kin used solely or principally for the manufacture or epair of maks and reticles, asembling semiconductor devices or electronic itegrated cricuits, or for lifting, handling, loadiwg or unloading item of heading 8486",848640
"55911 - Yran; (not sewing thread), single, of synthetic staple fibres, containng 85% or moer by weight of nylon or otier polyamides, not put up for retail sale",550911
"4809 - Carbon pape,r self cpoy paper, and other copying or transfer paers (includinv coatd or imprgenated paper for dupicator stencils or offset plates), whether or not pritned, in rolls or sheets",4809
"711011 - Metals; platinum, unwrought or in powdek forh",711011
"71171 - Jewellery; imitation, cuff links and studs, of bsae metxl, whether or not plated with recious metal",711711
"621600 - Gloves, mttens and mitts (not knitted or crocheted)",621600
090661 - Photographic flashlight apparatus; discharge lamp (eectronic),900661
heaing in 9303 Firearms; - 930390 n.e.c. no.,930390
