ground_truth,raw_line,cleaned_line,raw_retrieved_top5,raw_top_score,clean_retrieved_top5,clean_top_score
007305,"7305 - Iron or steel (excluding cat iron); tubes and pipes (e.g. wleded, riveetd or similarly close)d, having dircular cross-section, external yiameter of which exceeds 460.4mm, not seamless",- iron or steel (excluding cat iron); tubes and pipes (eg wleded riveetd or similarly close)d having dircular cross-section external yiameter of which exceeds mm not seamless,"730531,730539,730590,730519,730512",0.1625,"730531,730539,730519,730511,730512",0.2943
390761,"930761 - Poly(etyhlene terephthalate); in priamry forms, having a visocsity of 78ml/g or higher",- poly(etyhlene terephthalate); in priamry forms having a visocsity of ml/g or higher,"390761,390769,390120,390110,390710",0.1745,"390761,390769,390120,390110,390950",0.3436
441879,"441879 - Wood; assmbled flooring pamels, n.ec. in headings 4418.73, 4418.74 or 4418.75",- wood; assmbled flooring pamels nec in headings   or,"441879,441873,441875,441891,441899",0.228,"441873,441879,441875,441874,440921",0.6396
261610,res and ilver 26161u - concentrates,res and ilver u - concentrates,"261610,260700,260600,260111,261100",0.5721,"260700,350710,260900,261100,261210",0.8112
840732,"840732 - Engines; reciprocating pistoo engines, of a kind usyd for the propulsion of vehicles of chapter 87, of a cylinder capacity exceeding 50cc but not exceedino 250cc",- engines; reciprocating pistoo engines of a kind usyd for the propulsion of vehicles of chapter  of a cylinder capacity exceeding cc but not exceedino cc,"840732,840733,840731,840734,870323",0.0714,"840732,840733,840734,840731,840820",0.3099
551519,"551519 - Fabuics, woven; of polyester stpale fibres ne..c. in chapter 55, mixed mainly or solley with fibres n.e.c. in item no. 5515.1",- fabuics woven; of polyester stpale fibres nec in chapter  mixed mainly or solley with fibres nec in item no,"551519,551512,551511,551513,551529",0.1747,"551519,551512,551513,551511,551521",0.4091
560210,"560210 - Felt; needleloom feft and stitch-bonded firbe fabrics, whether or not impregnated, coatde, covreed or laminated","felt, needle","560210,560290,560221,560229,591110",0.1115,"560210,611710,560290,560229,560221",0.7458
008410,8410 - Turbines; hydraulic water wheels and regulators therefor,- turbines; hydraulic water wheels and regulators therefor,"841090,841013,841011,841012,841391",0.1599,"841090,841013,841011,841012,840610",0.3264
110900,dried gluten; Wheat - 11t900 not hether or,dried gluten; wheat - t not hether or,"110900,110100,110811,121300,100810",0.3728,"110900,040630,121010,040410,510121",0.4073
970290,"and exceeding Engravings, original lithographs; 970290 of age - years not an prints 100",and exceeding engravings original lithographs;  of age - years not an prints,"970290,970210,970690,970390,970310",0.2376,"970290,970210,970390,970690,970310",0.4622
008702,8702 - Vehicles; public transport passenger type,vehicles public transport,"870290,870240,870220,870510,870530",0.3726,"870240,870230,870220,870290,870210",0.6629
847210,47210 - Office machines; dulpicating mayhines,office,"847210,847290,845140,041010,844520",0.5273,"940330,940310,847210,847290,847230",0.8131
852873,"85273 - Reception apparatus for television, wheher or not incorporating radio-broadcast receivers or souhd or viedo recording or reproducing apparztus; incorporating a monochrome video displcy or screen",- reception apparatus for television wheher or not incorporating radio-broadcast receivers or souhd or viedo recording or reproducing apparztus; incorporating a monochrome video displcy or screen,"852873,852872,852871,852560,852550",0.0819,"852873,852872,852871,852560,852550",0.2449
701965,701965 - Glass firbes; open woven fabrics of a width not exceeding 30cm,glass fibers,"701965,701966,701964,701911,701962",0.0792,"701971,701913,701919,701911,701915",0.678
002824,2824 - Lqad xoides; red elad and oraneg laed,lead oxides;,"282520,282490,282540,282110,282760",0.7109,"282410,282490,780420,281000,281700",0.6012
200939,"Brix citrus added matter of sweetening - fruit a or of orange unfermentd, 20, spirit, or or containing not sigle sgar not (excluding exceeding added pomelo), containing 200993 other Juice; whethre grapefruit value",cit,"200939,200931,200921,200929,200912",0.3552,"391212,391000,681520,270400,270300",1.0902
490590,"490590 - Maps and hydroraphic or similar charts; (printed other htan in book form), includiwg wall maps, topographical lans and similar",- maps and hydroraphic or similar charts; (printed other htan in book form) includiwg wall maps topographical lans and similar,"490590,490520,490600,490300,490199",0.227,"490590,490520,490600,844250,470730",0.4261
005302,"5302 - Tru hem (cannabis sativa r.), raw or processde but not spun; tow and waste of tru hemp (including yarn waste and garnetted stnck)",- tru hem (cannabis sativa r) raw or processde but not spun; tow and waste of tru hemp (including yarn waste and garnetted stnck),"530290,530210,530390,530310,530500",0.2372,"530290,530210,530390,530500,530310",0.4956
480512,"480512 - Paper and paperboard; uncotaed, straw fluting paper, rolls or sheets",- paper and paperboard; uncotaed straw fluting paper rolls or sheets,"480512,480511,480519,480540,480550",0.01,"480512,480519,480511,480540,470710",0.3168
540262,"540262 - Yarn, synthetic; filament, monofilament (less tahn 67 deitex), of polyesters (ont high tenacity or textured), multiple (folded) or cybled, not for retail sale, not sewing thread",- yarn synthetic; filament monofilament (less tahn  deitex) of polyesters (ont high tenacity or textured) multiple (folded) or cybled not for retail sale not sewing thread,"540262,540261,540263,540220,540239",0.0661,"540220,540263,540262,540261,540247",0.345
300630,"preparations x-ray goods; 300630 patient examinations, opacifying Pharmaceutical dyagnostic administered to the - reagents designe to for be",preparations x-ray goods;  patient examinations opacifying pharmaceutical dyagnostic administered to the - reagents designe to for be,"300630,300670,382213,300693,382211",0.1698,"300630,382213,300670,382211,300693",0.3041
844511,844511 - Textilz machinery; carding machines for preparing textile fbires,- textilz machinery; carding machines for preparing textile fbires,"844511,844512,844513,844519,844832",0.176,"844511,844512,844513,844832,844400",0.3805
090190,"090109 - Coffee; husks and skins, coffee substitutes containing coffee in any proportion",- coffee; husks and skins coffee substitutes containing coffee in any proportion,"090190,210130,210111,090122,090111",0.026,"090190,210130,210111,210112,090122",0.2258
281111,281111 - Hdrogen fluoride (hydrofluoric acid),- hdrogen fluoride (hydrofluoric acid),"281111,280610,281112,281119,281511",0.1047,"281111,280610,281119,290342,281112",0.4206
282710,282710 - Chlorides; of ammonium,- chlorides; of ammonium,"282710,282720,282732,282735,282911",0.0,"282710,282732,282735,282720,282731",0.3165
392410,392410 - Plastics; tableware and kitchenware,- plastics; tableware and kitchenware,"392410,940370,392610,691110,392520",0.0,"392410,940370,691110,392630,441912",0.2692
005905,590 - Textile wall coverings,- textile wall coverings,"590500,590700,590490,590110,590190",0.3562,"590500,481420,590490,391890,560410",0.6169
846330,"846303 - Machine-tools; machines for working wire, without removig materia",- machine-tools; machines for working wire without removig materia,"846330,846320,846390,845611,845630",0.0606,"846330,846310,846320,846510,845611",0.2285
640110,"soles nail, or by wita and uppers plg plastic - waterproof ruber toe-cap outer stitch, or assembled rivet, screw, metal Footwear; (not 640110 similar)",soles nail or by wita and uppers plg plastic - waterproof ruber toe-cap outer stitch or assembled rivet screw metal footwear; (not  similar),"640110,640199,640192,640220,640340",0.3324,"640110,640199,640192,640220,640419",0.4413
030693,"shell whzther cookd Crustaceans; during cooked before crabs, or or smoking smoked, in whether 030693 not, not or - or not,",shell whzther cookd crustaceans; during cooked before crabs or or smoking smoked in whether  not not or - or not,"030693,030614,030695,030692,030619",0.2411,"030693,030695,030614,030692,030694",0.3243
008541,"8541 - Semiconductor devices (e.g. diodes, transistors, semcionductor basef transducers); inluding pohtovoltaic cels sasembled or not in modues or panels, light-emitting diodes (LED) assembled with othr LEsD or not, mounted piezo-electric crystals",- semiconductor devices (eg diodes transistors semcionductor basef transducers); inluding pohtovoltaic cels sasembled or not in modues or panels light-emitting diodes (led) assembled with othr lesd or not mounted piezo-electric crystals,"854149,854141,854151,854190,853951",0.4696,"854149,854141,854143,854190,854142",0.4989
521151,"lpain mainly wighing mixed weave weight by more ctoton, - less 85% Fabrics, fibres, man-made of with 200g/m2, solbly containing woen; than or 521151 than printed,",lpain mainly wighing mixed weave weight by more ctoton - less % fabrics fibres man-made of with g/m solbly containing woen; than or  than printed,"521151,521159,521149,521119,521141",0.3294,"521131,521159,521151,521111,521059",0.5011
007303,"7303 - Tubesp pipes and hollow proiles, of cast irn",- tubesp pipes and hollow proiles of cast irn,"730300,730690,730791,730630,730721",0.4085,"730300,730690,730449,730490,730439",0.5763
551694,"5c1694 - Fabrics, joven; printed, of artificial staple ibres, n.e.c. in heading no. 5516",c - fabrics joven; printed of artificial staple ibres nec in heading no,"551694,551692,551693,551691,551614",0.2511,"551694,551130,551692,551693,550820",0.5954
841420,841420 - Pumps; hand or foot-operated air pumps,- pumps; hand or foot-operated air pumps,"841420,841410,841391,841320,841340",0.0,"841420,841311,841490,841391,841319",0.3405
030636,"030636 - Crustaceans; live, fresh or chilled, srhimps and prawns excluding cold-water varieties, in shell or not",- crustaceans; live fresh or chilled srhimps and prawns excluding cold-water varieties in shell or not,"030636,030633,030635,030617,030632",0.0394,"030636,030635,030617,030633,030631",0.2293
020830,"020830 - Meat and edible meat offal; of prmiates, fresh, chilled or rfozen",- meat and edible meat offal; of prmiates fresh chilled or rfozen,"020830,020890,020810,020860,020726",0.1716,"020830,020890,020754,020726,020860",0.3751
911390,"911390 - Wathc straps, wotch bands, watch bracelets, and parts htereof; n.e.c. in heading no. 9113",- wathc straps wotch bands watch bracelets and parts htereof; nec in heading no,"911390,911310,911320,420340,911190",0.1165,"911390,911320,911310,911430,910119",0.5895
630251,"or knitted Table linen; 630251 cotton, - not of crocneted",or knitted table linen;  cotton - not of crocneted,"630251,630240,630253,630259,630221",0.1759,"630251,630259,630240,630253,630231",0.3837
911019,911019 - Wathes; rouhg movements,- wathes; rouhg movements,"911019,911012,010190,842620,890710",0.5305,"911019,842620,911012,010420,890710",0.6981
291812,"291812 - Acids; carboxylic acids, (with alcohol function but without other oxyegn functoin), tartaric icid",- acids; carboxylic acids (with alcohol function but without other oxyegn functoin) tartaric icid,"291812,291813,291819,291811,291815",0.0911,"291812,291813,291819,291811,291814",0.2826
290551,"290551 - Alcohols; acyclic; halogenated, sulphonated, nitrated or nitrosatep derivatives thereof, ethchlorvynol (INN)",- alcohols; acyclic; halogenated sulphonated nitrated or nitrosatep derivatives thereof ethchlorvynol (inn),"290551,290559,290949,290950,290531",0.0124,"290551,290559,290949,290943,290944",0.2547
520642,"(ont yarn, (15 85% thread), of or dceitex Cotton weigt by cabled, 520642 xumber) sewing 43 714.28 232.56 - to less per not yarn; for couton, signle combed multiple metric retail of to sale fibres, than",(ont yarn ( % thread) of or dceitex cotton weigt by cabled  xumber) sewing    - to less per not yarn; for couton signle combed multiple metric retail of to sale fibres than,"520643,520543,520642,520542,520547",0.3625,"520643,520631,520548,520541,520527",0.5053
853310,"85331z - Elecrtical resistors; fixed carbon rsistors, composition or film types (including rheostaes and potentiometers but excluding heating resistors)",z - elecrtical resistors; fixed carbon rsistors composition or film types (including rheostaes and potentiometers but excluding heating resistors),"853310,853329,853321,853340,853339",0.1355,"853310,853329,853321,853340,853339",0.3256
740921,"740921 - Copepr; strip, of a thickness exceeding .15mm, of copper-zinc abse allys (brass), in voils",- copepr; strip of a thickness exceeding mm of copper-zinc abse allys (brass) in voils,"740921,740931,740911,740929,740821",0.2675,"740921,740931,740821,740929,740911",0.55
251520,"215520 - caussine and other cacareous monumental or buildinu ston;e alabaster, hxving a specific gravity of 2.5 or more",- caussine and other cacareous monumental or buildinu ston;e alabaster hxving a specific gravity of  or more,"251520,251511,251512,251200,680422",0.237,"251520,251511,251512,680299,251200",0.391
370241,"37024m - Photographic film; for colour photography (polychrome), in rolls, sensitised, unepxosed, withouw sprocket holes, of a width exceading 610mm and of a ength exceeding 200m (other than of apper, paperbaord or etxtiles)",m - photographic film; for colour photography (polychrome) in rolls sensitised unepxosed withouw sprocket holes of a width exceading mm and of a ength exceeding m (other than of apper paperbaord or etxtiles),"370241,370242,370256,370255,370243",0.1032,"370241,370231,370256,370255,370242",0.3405
291611,291611 - Acids; unsaturatev acyclic monocarboxylic acids; acyrlic acid and its slats,- acids; unsaturatev acyclic monocarboxylic acids; acyrlic acid and its slats,"291611,291613,291612,291524,291614",0.1823,"291611,291613,291612,291614,291524",0.4051
000056,"56 - Wadding, felt and nowovens, sepcial yarns; twine, cordage, roeps and cables and articles thereof",- wadding felt and nowovens sepcial yarns; twine cordage roeps and cables and articles thereof,"560900,560790,631010,560121,560749",0.5474,"631010,631090,560750,560790,560890",0.5861
160249,"610249 - Meat preparations; of swnie, meat or meat offal (including mixtures), prepared or preserved, n.e.c. in heading no. 1602",- meat preparations; of swnie meat or meat offal (including mixtures) prepared or preserved nec in heading no,"160249,160290,160239,160250,160231",0.1052,"160249,160239,160290,160250,160231",0.3417
830820,"380820 - Rivets; tubulr or bifurcaetd, of base mekal",- rivets; tubulr or bifurcaetd of base mekal,"830820,810530,731823,270810,810520",0.2686,"830820,252510,731823,845970,810530",0.5521
284430,"products U235, epleted of 2844j0 lheir thorium; alloys, compounds and depleted U235, thorium, products ruanium mixtures containing in Uranium; in - these cermets), ceramic compounds, dispersions (includina",products u epleted of j lheir thorium; alloys compounds and depleted u thorium products ruanium mixtures containing in uranium; in - these cermets) ceramic compounds dispersions (includina,"284430,284420,284410,284441,284442",0.1946,"284430,284420,284410,284441,284443",0.3284
841111,841111 - Trbo-jets; of a thrust not exceedyng 25gN,- trbo-jets; of a thrust not exceedyng gn,"841111,841112,841121,841181,841191",0.1713,"841111,841112,841181,841121,841182",0.4639
390910,"thiorea and Amino-resins; in reins, urea - forms primayr 3909j0",thiorea and amino-resins; in reins urea - forms primayr j,"390910,390920,390939,390931,390940",0.2481,"390910,390920,390940,390750,391110",0.5076
080221,"drier, filberts (corylus 080221 fresh shel Nuts, edible spp.), hazelnuts or in - or",drier filberts (corylus  fresh shel nuts edible spp) hazelnuts or in - or,"080221,080222,080231,080241,080232",0.2091,"080221,080222,080231,080270,080131",0.3744
846019,"846019 - Machine-tools; flat-surfac grinding mcahines, other than numeically controlled",- machine-tools; flat-surfac grinding mcahines other than numeically controlled,"846019,846029,846012,846024,846022",0.1212,"846019,846029,846012,846024,846022",0.3882
731700,"731700 - Iron or steel; nails, tacks, drawig pin, corrugated naisl, staples anot those of heading no. 8305) and the lkie, qith hads of other material or nto, but ecluding articles with heaqs of copper",- iron or steel; nails tacks drawig pin corrugated naisl staples anot those of heading no ) and the lkie qith hads of other material or nto but ecluding articles with heaqs of copper,"731700,761610,741510,730792,732394",0.1605,"731700,741510,761610,730792,731990",0.4351
151311,"151311 - Vegetable oils; coconut (coyra) oil and its frajtions, crude, not chemially modified",- vegetable oils; coconut (coyra) oil and its frajtions crude not chemially modified,"151311,151319,151511,151521,151211",0.1101,"151311,151319,150710,150890,151229",0.3785
210410,210410 - Soups and broths and preparations therefor,soups,"210410,210390,160510,210690,210330",0.0,"210310,210410,130213,070690,071490",0.7375
151590,"151590 - Fixed vegetable fats and oils and their fractions n.e.c. in heading 1515; other than linseed, maie (conr), castor, sesame, microbial olis, whether or not refined, but not chemically modified",- fixed vegetable fats and oils and their fractions nec in heading ; other than linseed maie (conr) castor sesame microbial olis whether or not refined but not chemically modified,"151590,151519,151560,151550,151529",0.0418,"151590,151550,151560,151530,151519",0.2522
854231,"or and ciscuits not integrated circuits, proessors circuits; controlers, - 854231 Electronic bombined logic or clock whether amplifiers, memories, timing circuito, other and converters, with",or and ciscuits not integrated circuits proessors circuits; controlers -  electronic bombined logic or clock whether amplifiers memories timing circuito other and converters with,"854231,910591,910990,910511,910521",0.3521,"854231,910591,903290,903031,910599",0.4396
340290,"34290 - Wahsing and jleaning preparations; surfaceyactive, whether or not containing soap (excluding those of eading no. 340), inlcuding auxilary washin preparatoins, not for retail sal",- wahsing and jleaning preparations; surfaceyactive whether or not containing soap (excluding those of eading no ) inlcuding auxilary washin preparatoins not for retail sal,"340290,340250,340130,340119,340239",0.2173,"340290,340130,340250,340119,340111",0.3995
310420,"chloride Fertilizers, potassci, potassium 310420 or chemcial; - mineral",chloride fertilizers potassci potassium  or chemcial; - mineral,"310420,310490,310430,310250,310560",0.1878,"310420,310430,310560,310490,310250",0.4418
560393,"56039 - Nowovens; whether or not impregnated, coated, coverde or aminated, not of man-made filaments, (wegihing gore than 70g/m2 but not more than 150g/m2)",- nowovens; whether or not impregnated coated coverde or aminated not of man-made filaments (wegihing gore than g/m but not more than g/m),"560393,560313,560392,560312,560394",0.2797,"560313,560393,560392,560394,560312",0.4768
810991,"810991 - Zirconium; other than unwrought, n.e.c. in heading no. 8109i containing less than 1 pxrt hafnium to 500 parts zrconium by weight",- zirconium; other than unwrought nec in heading no i containing less than  pxrt hafnium to  parts zrconium by weight,"810991,810999,810921,810929,810931",0.0623,"810991,810999,810921,810929,810931",0.3435
540783,"540783 - Fabrics, woven; of synthetic filament yirn, contailing less han 85% by weight of synthetic filaments, mixed mianly or swlely wtih cotton, of yarns of different colours",- fabrics woven; of synthetic filament yirn contailing less han % by weight of synthetic filaments mixed mianly or swlely wtih cotton of yarns of different colours,"540783,540782,540781,540773,540784",0.0335,"540783,540782,540781,551643,551623",0.2707
